fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
966983,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,,,,,,,,7,,,1,0,,,,,
966983,1375,Morecambe,https://media.api-sports.io/football/teams/1375.png,,,,,,,,4,,,1,0,,,,,
966984,4692,Hereford,https://media.api-sports.io/football/teams/4692.png,2,0,4,2,1,3,14,1,,25%,1,,4,224,131,58%,
966984,1355,Portsmouth,https://media.api-sports.io/football/teams/1355.png,7,4,17,6,11,6,9,9,,75%,2,,1,685,601,88%,
966972,7746,South Shields,https://media.api-sports.io/football/teams/7746.png,2,6,10,2,6,4,8,2,1,45%,1,,2,422,318,75%,
966972,1378,Forest Green,https://media.api-sports.io/football/teams/1378.png,4,5,11,2,8,3,8,3,1,55%,3,,2,531,413,78%,
966993,1343,Bradford,https://media.api-sports.io/football/teams/1343.png,,,,,,,,10,,,1,0,,,,,
966993,1842,Harrogate Town,https://media.api-sports.io/football/teams/1842.png,,,,,,,,6,,,2,0,,,,,
966973,68,Bolton,https://media.api-sports.io/football/teams/68.png,,,,,,,,11,,,1,0,,,,,
966973,747,Barnsley,https://media.api-sports.io/football/teams/747.png,,,,,,,,1,,,5,0,,,,,
966992,748,Burton Albion,https://media.api-sports.io/football/teams/748.png,,,,,,,,6,,,0,0,,,,,
966992,7735,Needham Market,https://media.api-sports.io/football/teams/7735.png,,,,,,,,1,,,0,0,,,,,
966995,1334,Bristol Rovers,https://media.api-sports.io/football/teams/1334.png,,,,,,,,6,,,1,0,,,,,
966995,1339,Rochdale,https://media.api-sports.io/football/teams/1339.png,,,,,,,,2,,,2,0,,,,,
966987,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,9,11,30,10,17,13,6,8,3,76%,,,2,721,642,89%,
966987,7709,Coalville Town,https://media.api-sports.io/football/teams/7709.png,3,3,6,0,3,3,7,1,0,24%,,,5,234,132,56%,
966991,1336,Fleetwood Town,https://media.api-sports.io/football/teams/1336.png,3,,3,,,,3,0,,,3,0,,,,,
966991,4684,Oxford City,https://media.api-sports.io/football/teams/4684.png,1,,1,,,,1,0,,,3,0,,,,,
966994,1351,Port Vale,https://media.api-sports.io/football/teams/1351.png,2,,2,,,,2,0,,,0,0,,,,,
966994,1364,Exeter City,https://media.api-sports.io/football/teams/1364.png,3,,3,,,,3,0,,,2,0,,,,,
966985,1352,Shrewsbury,https://media.api-sports.io/football/teams/1352.png,,,,,,,,4,,,0,0,,,,,
966985,1828,York,https://media.api-sports.io/football/teams/1828.png,,,,,,,,2,,,0,0,,,,,
966990,1354,Doncaster,https://media.api-sports.io/football/teams/1354.png,,,,,,,,0,,,0,0,,,,,
966990,8655,King's Lynn Town,https://media.api-sports.io/football/teams/8655.png,,,,,,,,0,,,1,0,,,,,
966996,1358,Wycombe,https://media.api-sports.io/football/teams/1358.png,,,,,,,,0,,,0,0,,,,,
966996,1342,Walsall,https://media.api-sports.io/football/teams/1342.png,,,,,,,,0,,,0,0,,,,,
966997,1363,Crewe,https://media.api-sports.io/football/teams/1363.png,,,,,,,,3,,,1,0,,,,,
966997,1373,Leyton Orient,https://media.api-sports.io/football/teams/1373.png,,,,,,,,7,,,1,1,,,,,
966998,1369,Barnet,https://media.api-sports.io/football/teams/1369.png,,,,,,,,12,,,1,0,,,,,
966998,4689,Chelmsford City,https://media.api-sports.io/football/teams/4689.png,,,,,,,,8,,,1,0,,,,,
968061,1823,Gateshead,https://media.api-sports.io/football/teams/1823.png,2,,2,,,,2,0,,,0,0,,,,,
968061,1368,Stevenage,https://media.api-sports.io/football/teams/1368.png,2,,2,,,,2,0,,,0,1,,,,,
966975,1838,Maidenhead,https://media.api-sports.io/football/teams/1838.png,,,,,,,,0,,,1,1,,,,,
966975,1821,Dagenham & Redbridge,https://media.api-sports.io/football/teams/1821.png,,,,,,,,0,,,0,0,,,,,
966981,1840,Ebbsfleet United,https://media.api-sports.io/football/teams/1840.png,2,,2,,,,2,0,,,0,0,,,,,
966981,1841,FC Halifax Town,https://media.api-sports.io/football/teams/1841.png,1,,1,,,,1,0,,,1,1,,,,,
966989,4686,Stockport County,https://media.api-sports.io/football/teams/4686.png,,,,,,,,4,,,1,0,,,,,
966989,1353,Swindon Town,https://media.api-sports.io/football/teams/1353.png,,,,,,,,1,,,3,0,,,,,
966986,7706,Buxton,https://media.api-sports.io/football/teams/7706.png,,,,,,,,3,,,2,0,,,,,
966986,7732,Merthyr Town,https://media.api-sports.io/football/teams/7732.png,,,,,,,,5,,,0,0,,,,,
968064,1837,Wrexham,https://media.api-sports.io/football/teams/1837.png,8,3,17,6,11,6,9,3,1,57%,0,,1,480,381,79%,
968064,1349,Oldham,https://media.api-sports.io/football/teams/1349.png,1,4,10,5,5,5,13,7,3,43%,2,,4,360,264,73%,
967003,4703,Curzon Ashton,https://media.api-sports.io/football/teams/4703.png,2,4,9,3,8,1,9,4,1,42%,2,,4,346,226,65%,
967003,1370,Cambridge United,https://media.api-sports.io/football/teams/1370.png,4,5,14,5,10,4,8,8,0,58%,3,,2,466,363,78%,
968065,1827,Torquay,https://media.api-sports.io/football/teams/1827.png,2,7,15,6,7,8,9,11,0,51%,1,0,3,267,148,55%,
968065,69,Derby,https://media.api-sports.io/football/teams/69.png,5,5,11,1,7,4,13,3,2,49%,1,1,0,267,144,54%,
967004,7619,Bracknell Town,https://media.api-sports.io/football/teams/7619.png,1,3,5,1,2,3,9,5,1,24%,1,,3,180,86,48%,
967004,57,Ipswich,https://media.api-sports.io/football/teams/57.png,5,4,11,2,10,1,9,2,3,76%,0,,1,597,509,85%,
971177,4689,Chelmsford City,https://media.api-sports.io/football/teams/4689.png,,,,,,,,2,,,1,0,,,,,
971177,1369,Barnet,https://media.api-sports.io/football/teams/1369.png,,,,,,,,4,,,1,1,,,,,
971872,69,Derby,https://media.api-sports.io/football/teams/69.png,7,4,17,6,11,6,5,6,2,58%,1,,7,399,289,72%,
971872,1827,Torquay,https://media.api-sports.io/football/teams/1827.png,7,2,14,5,7,7,7,10,1,42%,2,,3,281,163,58%,
971181,1333,AFC Wimbledon,https://media.api-sports.io/football/teams/1333.png,,,,,,,,9,,,2,0,,,,,
971181,8665,Weymouth,https://media.api-sports.io/football/teams/8665.png,,,,,,,,5,,,1,0,,,,,
971179,1366,Hartlepool,https://media.api-sports.io/football/teams/1366.png,,,,,,,,11,,,1,0,,,,,
971179,1834,Solihull Moors,https://media.api-sports.io/football/teams/1834.png,,,,,,,,11,,,1,0,,,,,
966999,1836,Woking,https://media.api-sports.io/football/teams/1836.png,,,,,,,,6,,,1,0,,,,,
966999,1338,Oxford United,https://media.api-sports.io/football/teams/1338.png,,,,,,,,1,,,2,0,,,,,
971178,1844,Salford City,https://media.api-sports.io/football/teams/1844.png,0,4,9,5,7,2,7,2,,59%,2,,3,517,437,85%,
971178,1350,Peterborough,https://media.api-sports.io/football/teams/1350.png,6,7,18,5,11,7,12,2,,41%,0,,0,358,296,83%,
971865,8655,King's Lynn Town,https://media.api-sports.io/football/teams/8655.png,1,7,14,6,7,7,7,4,1,49%,,,2,396,268,68%,
971865,1368,Stevenage,https://media.api-sports.io/football/teams/1368.png,5,2,9,2,8,1,9,5,7,51%,,,1,414,274,66%,
971868,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,,,,,,,,3,,,0,0,,,,,
971868,1374,Mansfield Town,https://media.api-sports.io/football/teams/1374.png,,,,,,,,2,,,1,0,,,,,
971862,747,Barnsley,https://media.api-sports.io/football/teams/747.png,,,,,,,,9,,,1,0,,,,,
971862,1363,Crewe,https://media.api-sports.io/football/teams/1363.png,,,,,,,,2,,,0,0,,,,,
971866,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,,,,,,,,2,,,1,0,,,,,
971866,4686,Stockport County,https://media.api-sports.io/football/teams/4686.png,,,,,,,,6,,,2,0,,,,,
973727,1338,Oxford United,https://media.api-sports.io/football/teams/1338.png,,,,,,,,6,,,2,0,,,,,
973727,1364,Exeter City,https://media.api-sports.io/football/teams/1364.png,,,,,,,,7,,,3,0,,,,,
971870,1342,Walsall,https://media.api-sports.io/football/teams/1342.png,,,,,,,,8,,,0,0,,,,,
971870,1371,Carlisle,https://media.api-sports.io/football/teams/1371.png,,,,,,,,3,,,2,0,,,,,
971864,1355,Portsmouth,https://media.api-sports.io/football/teams/1355.png,,,,,,,,3,,,0,0,,,,,
971864,1348,Milton Keynes Dons,https://media.api-sports.io/football/teams/1348.png,,,,,,,,7,,,2,0,,,,,
973271,1360,Accrington ST,https://media.api-sports.io/football/teams/1360.png,,,,,,,,3,,,1,0,,,,,
973271,1369,Barnet,https://media.api-sports.io/football/teams/1369.png,,,,,,,,6,,,3,0,,,,,
973274,1370,Cambridge United,https://media.api-sports.io/football/teams/1370.png,,,,,,,,5,,,1,0,,,,,
973274,1365,Grimsby,https://media.api-sports.io/football/teams/1365.png,,,,,,,,4,,,3,0,,,,,
971863,1378,Forest Green,https://media.api-sports.io/football/teams/1378.png,6,4,12,2,8,4,15,7,3,46%,3,1,0,331,246,74%,
971863,7692,Alvechurch,https://media.api-sports.io/football/teams/7692.png,1,3,8,4,1,7,12,0,1,54%,1,0,4,422,327,77%,
971859,1837,Wrexham,https://media.api-sports.io/football/teams/1837.png,6,6,14,2,13,1,8,7,1,66%,1,,3,457,353,77%,
971859,7715,Farnborough,https://media.api-sports.io/football/teams/7715.png,4,4,11,3,6,5,6,4,1,34%,0,,2,237,128,54%,
973272,1821,Dagenham & Redbridge,https://media.api-sports.io/football/teams/1821.png,6,8,22,8,13,9,4,8,2,48%,0,,1,332,213,64%,
973272,1347,Gillingham,https://media.api-sports.io/football/teams/1347.png,2,2,10,6,5,5,12,5,3,52%,1,,5,362,240,66%,
971860,1840,Ebbsfleet United,https://media.api-sports.io/football/teams/1840.png,4,2,10,4,4,6,13,2,1,47%,1,,0,366,288,79%,
971860,1336,Fleetwood Town,https://media.api-sports.io/football/teams/1336.png,1,3,7,3,5,2,19,5,0,53%,1,,4,417,333,80%,
971869,748,Burton Albion,https://media.api-sports.io/football/teams/748.png,11,4,21,6,16,5,11,5,3,60%,0,,3,436,324,74%,
971869,8147,Chippenham Town,https://media.api-sports.io/football/teams/8147.png,4,0,6,2,3,3,8,1,0,40%,1,,5,305,191,63%,
971867,1334,Bristol Rovers,https://media.api-sports.io/football/teams/1334.png,2,8,17,7,10,7,5,5,0,71%,1,,3,520,428,82%,
971867,1830,Boreham Wood,https://media.api-sports.io/football/teams/1830.png,5,5,15,5,7,8,13,4,3,29%,3,,2,211,120,57%,
973275,1367,Newport County,https://media.api-sports.io/football/teams/1367.png,3,1,6,2,3,3,12,4,1,36%,1,,2,255,150,59%,
973275,69,Derby,https://media.api-sports.io/football/teams/69.png,4,7,16,5,11,5,10,7,3,64%,1,,2,454,346,76%,
971861,57,Ipswich,https://media.api-sports.io/football/teams/57.png,10,10,26,6,16,10,11,8,0,76%,3,,1,597,512,86%,
971861,7706,Buxton,https://media.api-sports.io/football/teams/7706.png,1,2,6,3,4,2,7,1,1,24%,2,,6,201,105,52%,
976491,4686,Stockport County,https://media.api-sports.io/football/teams/4686.png,6,8,18,4,13,5,8,3,0,42%,1,,1,334,231,69%,
976491,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,1,4,5,0,2,3,19,3,1,58%,4,,3,467,357,76%,
976492,1347,Gillingham,https://media.api-sports.io/football/teams/1347.png,7,4,14,3,11,3,7,9,6,44%,2,0,2,318,199,63%,
976492,1821,Dagenham & Redbridge,https://media.api-sports.io/football/teams/1821.png,4,3,11,4,6,5,8,5,1,56%,0,1,3,407,275,68%,
976488,33,Manchester United,https://media.api-sports.io/football/teams/33.png,7,5,17,5,7,10,10,8,0,58%,1,,3,498,436,88%,
976488,45,Everton,https://media.api-sports.io/football/teams/45.png,5,3,8,0,6,2,8,2,2,42%,3,,5,366,296,81%,
976466,47,Tottenham,https://media.api-sports.io/football/teams/47.png,1,8,18,9,8,10,9,9,1,72%,1,,1,678,605,89%,
976466,1355,Portsmouth,https://media.api-sports.io/football/teams/1355.png,1,1,3,1,2,1,11,3,2,28%,1,,0,266,178,67%,
976484,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,2,5,13,6,11,2,10,8,1,55%,1,,2,500,396,79%,
976484,41,Southampton,https://media.api-sports.io/football/teams/41.png,4,1,6,1,3,3,21,1,4,45%,4,,1,421,320,76%,
976489,53,Reading,https://media.api-sports.io/football/teams/53.png,,,,,,,,4,,,2,0,,,,,
976489,38,Watford,https://media.api-sports.io/football/teams/38.png,,,,,,,,4,,,2,0,,,,,
976461,59,Preston,https://media.api-sports.io/football/teams/59.png,,,,,,,,2,,,0,0,,,,,
976461,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,,,,,,,,1,,,1,0,,,,,
981448,1347,Gillingham,https://media.api-sports.io/football/teams/1347.png,3,2,7,2,5,2,4,1,2,30%,,,5,239,123,51%,
981448,46,Leicester,https://media.api-sports.io/football/teams/46.png,6,4,14,4,11,3,11,7,1,70%,,,3,562,457,81%,
976470,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,6,2,11,3,10,1,13,10,2,46%,1,,2,409,321,78%,
976470,44,Burnley,https://media.api-sports.io/football/teams/44.png,6,2,12,4,7,5,11,2,1,54%,2,,3,501,418,83%,
976490,57,Ipswich,https://media.api-sports.io/football/teams/57.png,8,,14,,,,5,11,3,,1,0,1,,,,
976490,73,Rotherham,https://media.api-sports.io/football/teams/73.png,2,,3,,,,9,2,2,,2,0,4,,,,
976485,58,Millwall,https://media.api-sports.io/football/teams/58.png,,,,,,,,4,,,1,0,,,,,
976485,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,,,,,,,,5,,,1,0,,,,,
976483,64,Hull City,https://media.api-sports.io/football/teams/64.png,3,3,7,1,4,3,3,6,6,41%,1,,3,445,371,83%,
976483,36,Fulham,https://media.api-sports.io/football/teams/36.png,5,4,10,1,6,4,10,5,0,59%,1,,3,650,577,89%,
976462,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,5,0,5,0,4,1,7,4,1,32%,1,,5,324,267,82%,
976462,51,Brighton,https://media.api-sports.io/football/teams/51.png,10,6,19,3,12,7,7,3,2,68%,1,,4,705,656,93%,
976476,1336,Fleetwood Town,https://media.api-sports.io/football/teams/1336.png,2,,2,,,,2,6,,,1,0,,,,,
976476,72,QPR,https://media.api-sports.io/football/teams/72.png,1,,1,,,,1,6,,,1,0,,,,,
976463,1345,Chesterfield,https://media.api-sports.io/football/teams/1345.png,6,2,12,4,11,1,6,9,2,39%,1,,7,336,245,73%,
