rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,50,Manchester City,https://media.api-sports.io/football/teams/50.png,86,51,Premier League,WLWLW,same,Promotion - Champions League (Group Stage),38,27,5,6,83,32,19,13,2,4,43,17,19,14,3,2,40,15
2,33,Manchester United,https://media.api-sports.io/football/teams/33.png,74,29,Premier League,WDLLW,same,Promotion - Champions League (Group Stage),38,21,11,6,73,44,19,9,4,6,38,28,19,12,7,0,35,16
3,40,Liverpool,https://media.api-sports.io/football/teams/40.png,69,26,Premier League,WWWWW,same,Promotion - Champions League (Group Stage),38,20,9,9,68,42,19,10,3,6,29,20,19,10,6,3,39,22
4,49,Chelsea,https://media.api-sports.io/football/teams/49.png,67,22,Premier League,LWLWW,same,Promotion - Champions League (Group Stage),38,19,10,9,58,36,19,9,6,4,31,18,19,10,4,5,27,18
5,46,Leicester,https://media.api-sports.io/football/teams/46.png,66,18,Premier League,LLWLD,same,Promotion - Europa League (Group Stage),38,20,6,12,68,50,19,9,1,9,34,30,19,11,5,3,34,20
6,48,West Ham,https://media.api-sports.io/football/teams/48.png,65,15,Premier League,WWDLW,same,Promotion - Europa League (Group Stage),38,19,8,11,62,47,19,10,4,5,32,22,19,9,4,6,30,25
7,47,Tottenham,https://media.api-sports.io/football/teams/47.png,62,23,Premier League,WLWLW,same,Promotion - Europa Conference League (Qualification),38,18,8,12,68,45,19,10,3,6,35,20,19,8,5,6,33,25
8,42,Arsenal,https://media.api-sports.io/football/teams/42.png,61,16,Premier League,WWWWW,same,,38,18,7,13,55,39,19,8,4,7,24,21,19,10,3,6,31,18
9,63,Leeds,https://media.api-sports.io/football/teams/63.png,59,8,Premier League,WWWWL,same,,38,18,5,15,62,54,19,8,5,6,28,21,19,10,0,9,34,33
10,45,Everton,https://media.api-sports.io/football/teams/45.png,59,-1,Premier League,LWLDW,same,,38,17,8,13,47,48,19,6,4,9,24,28,19,11,4,4,23,20
11,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,55,9,Premier League,WWLDL,same,,38,16,7,15,55,46,19,7,4,8,29,27,19,9,3,7,26,19
12,34,Newcastle,https://media.api-sports.io/football/teams/34.png,45,-16,Premier League,WWLWL,same,,38,12,9,17,46,62,19,6,5,8,26,33,19,6,4,9,20,29
13,39,Wolves,https://media.api-sports.io/football/teams/39.png,45,-16,Premier League,LLLWD,same,,38,12,9,17,36,52,19,7,4,8,21,25,19,5,5,9,15,27
14,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,44,-25,Premier League,LLWLW,same,,38,12,8,18,41,66,19,6,5,8,20,32,19,6,3,10,21,34
15,41,Southampton,https://media.api-sports.io/football/teams/41.png,43,-21,Premier League,LLWWL,same,,38,12,7,19,47,68,19,8,3,8,28,25,19,4,4,11,19,43
16,51,Brighton,https://media.api-sports.io/football/teams/51.png,41,-6,Premier League,LWDLW,same,,38,9,14,15,40,46,19,4,9,6,22,22,19,5,5,9,18,24
17,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,-22,Premier League,LLLWL,same,,38,10,9,19,33,55,19,4,6,9,14,27,19,6,3,10,19,28
18,36,Fulham,https://media.api-sports.io/football/teams/36.png,28,-26,Premier League,LDLLL,same,Relegation - Championship,38,5,13,20,27,53,19,2,4,13,9,28,19,3,9,7,18,25
19,60,West Brom,https://media.api-sports.io/football/teams/60.png,26,-41,Premier League,LLLLD,same,Relegation - Championship,38,5,11,22,35,76,19,3,6,10,15,39,19,2,5,12,20,37
20,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,23,-43,Premier League,WLWLL,same,Relegation - Championship,38,7,2,29,20,63,19,5,1,13,12,27,19,2,1,16,8,36
