fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,shots_on,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_past,fouls_committed,tackles_blocks,dribbles_success,fouls_drawn,passes_key,goals_total,offsides,penalty_commited,penalty_won
1388308,Bayern München,157,497,Manuel Neuer,https://media.api-sports.io/football/players/497.png,90.0,1,G,7.2,True,False,0,0.0,1.0,36.0,32,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1388308,Bayern München,157,1157,Konrad Laimer,https://media.api-sports.io/football/players/1157.png,69.0,27,D,6.7,False,False,0,0.0,,34.0,32,1,0,0,0,,1.0,1.0,2.0,1.0,8.0,2.0,1.0,1.0,4.0,,,,,,,,
1388308,Bayern München,157,1149,Dayot Upamecano,https://media.api-sports.io/football/players/1149.png,90.0,2,D,7.6,False,False,0,0.0,,91.0,80,0,0,0,0,,,,3.0,1.0,10.0,5.0,2.0,1.0,2.0,1.0,1.0,,,,,,
1388308,Bayern München,157,972,Jonathan Tah,https://media.api-sports.io/football/players/972.png,68.0,4,D,7.2,False,False,0,0.0,,53.0,50,1,0,0,0,,,,1.0,1.0,2.0,1.0,,,2.0,2.0,,,,,,,
1388308,Bayern München,157,125171,Josip Stanišić,https://media.api-sports.io/football/players/125171.png,90.0,44,D,7.5,False,False,0,0.0,,46.0,44,0,0,0,0,,,,1.0,1.0,4.0,3.0,,1.0,,,,1.0,,,,,
1388308,Bayern München,157,502,Joshua Kimmich,https://media.api-sports.io/football/players/502.png,90.0,6,M,8.7,False,False,0,0.0,,100.0,96,1,0,0,0,,1.0,,1.0,1.0,6.0,3.0,,1.0,,,,1.0,3.0,,,,
1388308,Bayern München,157,511,Leon Goretzka,https://media.api-sports.io/football/players/511.png,68.0,8,M,7.5,False,False,0,0.0,,41.0,38,0,0,0,0,,1.0,,,1.0,6.0,3.0,1.0,2.0,,2.0,1.0,1.0,,,,,
1388308,Bayern München,157,19617,Michael Olise,https://media.api-sports.io/football/players/19617.png,90.0,17,M,9.9,False,False,0,0.0,,50.0,43,1,0,0,0,,3.0,2.0,2.0,1.0,17.0,5.0,6.0,5.0,2.0,,3.0,,1.0,2.0,,,
1388308,Bayern München,157,510,Serge Gnabry,https://media.api-sports.io/football/players/510.png,69.0,7,M,7.7,False,False,0,2.0,,36.0,31,0,0,0,0,,,,1.0,,6.0,3.0,4.0,,,,2.0,,3.0,,1.0,,
1388308,Bayern München,157,2489,Luis Díaz,https://media.api-sports.io/football/players/2489.png,90.0,14,M,9.9,False,False,0,2.0,,50.0,44,0,0,0,0,,1.0,1.0,,,10.0,6.0,6.0,,,1.0,4.0,2.0,4.0,1.0,,,
1388308,Bayern München,157,184,Harry Kane,https://media.api-sports.io/football/players/184.png,86.0,9,F,10,False,False,0,0.0,,29.0,23,0,0,0,0,,5.0,4.0,,1.0,8.0,6.0,3.0,,,,2.0,4.0,2.0,3.0,1.0,,
1388308,Bayern München,157,2897,Min-jae Kim,https://media.api-sports.io/football/players/2897.png,23.0,3,D,7.5,False,True,0,1.0,,20.0,20,0,0,0,0,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,
1388308,Bayern München,157,328033,Aleksandar Pavlović,https://media.api-sports.io/football/players/328033.png,23.0,45,M,6.9,False,True,0,0.0,,30.0,30,0,0,0,0,,,,,,3.0,1.0,,1.0,1.0,,,1.0,,,,,
1388308,Bayern München,157,2195,Sacha Boey,https://media.api-sports.io/football/players/2195.png,22.0,23,D,6.9,False,True,0,0.0,,22.0,19,0,0,0,0,,,,,1.0,5.0,3.0,2.0,,1.0,,1.0,2.0,1.0,,,,
1388308,Bayern München,157,494131,Lennart Karl,https://media.api-sports.io/football/players/494131.png,22.0,42,M,7.2,False,True,0,0.0,,18.0,17,0,0,0,0,,2.0,2.0,2.0,,3.0,3.0,,,,,,1.0,,,,,
1388308,Bayern München,157,436443,Jonah Kusi-Asare,https://media.api-sports.io/football/players/436443.png,10.0,41,F,6.7,False,True,0,0.0,,,,0,0,0,0,,,,,,,,,,1.0,1.0,,,,,,,
1388308,Bayern München,157,203376,Jonas Urbig,https://media.api-sports.io/football/players/203376.png,,40,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388308,Bayern München,157,498,Sven Ulreich,https://media.api-sports.io/football/players/498.png,,26,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388308,Bayern München,157,8,Raphaël Guerreiro,https://media.api-sports.io/football/players/8.png,,22,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388308,Bayern München,157,496738,Wisdom Mike,https://media.api-sports.io/football/players/496738.png,,36,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388308,RB Leipzig,173,1139,Péter Gulácsi,https://media.api-sports.io/football/players/1139.png,90.0,1,G,4.2,False,False,6,0.0,3.0,42.0,32,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1388308,RB Leipzig,173,25917,Ridle Baku,https://media.api-sports.io/football/players/25917.png,90.0,17,D,6.2,False,False,0,0.0,,35.0,31,0,0,0,0,,,,7.0,1.0,11.0,7.0,,2.0,2.0,1.0,,,1.0,,,,
1388308,RB Leipzig,173,1148,Willi Orbán,https://media.api-sports.io/football/players/1148.png,90.0,4,D,5.3,False,False,0,0.0,,31.0,28,1,0,0,0,,,,1.0,,5.0,2.0,,,3.0,1.0,,,,,,,
1388308,RB Leipzig,173,162761,Castello Lukeba,https://media.api-sports.io/football/players/162761.png,90.0,23,D,5.5,False,False,0,0.0,,62.0,56,0,0,0,0,,,,,2.0,4.0,2.0,3.0,1.0,,2.0,2.0,,,,,,
1388308,RB Leipzig,173,25158,David Raum,https://media.api-sports.io/football/players/25158.png,90.0,22,D,5.5,True,False,0,0.0,,42.0,29,0,0,0,0,,1.0,,1.0,2.0,10.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,
1388308,RB Leipzig,173,1095,Xaver Schlager,https://media.api-sports.io/football/players/1095.png,69.0,24,M,6.7,False,False,0,0.0,,27.0,23,0,0,0,0,,1.0,,1.0,,5.0,2.0,1.0,1.0,2.0,,1.0,,2.0,,,,
1388308,RB Leipzig,173,7328,Nicolas Seiwald,https://media.api-sports.io/football/players/7328.png,88.0,13,M,6.3,False,False,0,0.0,,33.0,29,0,0,0,0,,,,2.0,1.0,5.0,3.0,1.0,,,,1.0,,1.0,,,,
1388308,RB Leipzig,173,162016,Xavi Simons,https://media.api-sports.io/football/players/162016.png,90.0,10,M,6.3,False,False,0,0.0,,37.0,33,0,0,0,0,,,,,1.0,8.0,5.0,4.0,,1.0,,2.0,3.0,1.0,,,,
1388308,RB Leipzig,173,290549,Johan Bakayoko,https://media.api-sports.io/football/players/290549.png,69.0,9,F,5.9,False,False,0,0.0,,24.0,18,0,0,0,0,,,,1.0,,7.0,1.0,1.0,3.0,,,,,1.0,,,,
1388308,RB Leipzig,173,86,Loïs Openda,https://media.api-sports.io/football/players/86.png,45.0,11,F,6.9,False,False,0,0.0,,12.0,10,0,0,0,0,,,,,,3.0,2.0,1.0,,,,,2.0,1.0,,,,
1388308,RB Leipzig,173,513776,Yan Diomande,https://media.api-sports.io/football/players/513776.png,45.0,49,F,6.7,False,False,0,0.0,,11.0,9,0,0,0,0,,,,,,7.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,
1388308,RB Leipzig,173,314511,Antonio Nusa,https://media.api-sports.io/football/players/314511.png,45.0,7,M,6.7,False,True,0,0.0,,9.0,4,0,0,0,0,,1.0,,2.0,1.0,10.0,6.0,5.0,,,,1.0,3.0,,,,,
1388308,RB Leipzig,173,326102,Rômulo,https://media.api-sports.io/football/players/326102.png,45.0,40,F,6.7,False,True,0,0.0,,15.0,10,0,0,0,0,,,,1.0,1.0,6.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,,,
1388308,RB Leipzig,173,715,Christoph Baumgartner,https://media.api-sports.io/football/players/715.png,22.0,14,M,6.3,False,True,0,0.0,,4.0,4,0,0,0,0,,2.0,1.0,,,3.0,1.0,1.0,1.0,1.0,,1.0,,,,,,
1388308,RB Leipzig,173,343286,Ezechiel Banzuzi,https://media.api-sports.io/football/players/343286.png,22.0,6,M,6.9,False,True,0,0.0,,3.0,3,0,0,0,0,,,,2.0,,3.0,2.0,,1.0,,,,,,,,,
1388308,RB Leipzig,173,380978,Assan Ouédraogo,https://media.api-sports.io/football/players/380978.png,8.0,20,M,6.6,False,True,0,0.0,,1.0,,0,0,0,0,,,,,,2.0,2.0,1.0,,,,1.0,1.0,,,,,
1388308,RB Leipzig,173,1924,Maarten Vandevoordt,https://media.api-sports.io/football/players/1924.png,,26,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388308,RB Leipzig,173,37143,Lutsharel Geertruida,https://media.api-sports.io/football/players/37143.png,,2,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388308,RB Leipzig,173,342320,Kosta Nedeljković,https://media.api-sports.io/football/players/342320.png,,19,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388308,RB Leipzig,173,268571,El Chadaille Bitshiabu,https://media.api-sports.io/football/players/268571.png,,5,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388312,SC Freiburg,160,178768,Noah Atubolu,https://media.api-sports.io/football/players/178768.png,90.0,1,G,7.2,False,False,3,0.0,2.0,36.0,25,0,0,0,0,0.0,,,,,1.0,1.0,,,,,,,,,,,
1388312,SC Freiburg,160,26239,Lukas Kübler,https://media.api-sports.io/football/players/26239.png,90.0,17,D,7,False,False,0,0.0,,46.0,38,0,0,0,0,,,,4.0,3.0,12.0,9.0,,,1.0,,,2.0,,,1.0,,
1388312,SC Freiburg,160,2915,Matthias Ginter,https://media.api-sports.io/football/players/2915.png,90.0,28,D,6.5,False,False,0,0.0,,68.0,57,1,0,0,0,,1.0,1.0,,3.0,16.0,11.0,,,2.0,,,2.0,,,,,
1388312,SC Freiburg,160,26240,Philipp Lienhart,https://media.api-sports.io/football/players/26240.png,90.0,3,D,7.5,False,False,0,0.0,,52.0,48,0,0,0,0,,1.0,,,,3.0,2.0,,,,4.0,,,,,,,
1388312,SC Freiburg,160,26236,Christian Günter,https://media.api-sports.io/football/players/26236.png,81.0,30,D,5.6,True,False,0,0.0,,15.0,12,1,0,0,0,,,,,,3.0,1.0,,,1.0,,,,2.0,,1.0,,
1388312,SC Freiburg,160,2917,Maximilian Eggestein,https://media.api-sports.io/football/players/2917.png,90.0,8,M,7,False,False,0,0.0,,48.0,42,0,0,0,0,,,,5.0,3.0,12.0,9.0,2.0,,3.0,1.0,1.0,1.0,2.0,,,,
1388312,SC Freiburg,160,406244,Johan Manzambi,https://media.api-sports.io/football/players/406244.png,81.0,44,M,7.3,False,False,0,0.0,,47.0,43,0,0,0,0,,2.0,1.0,1.0,2.0,11.0,7.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,
1388312,SC Freiburg,160,202526,Eren Dinkçi,https://media.api-sports.io/football/players/202526.png,60.0,18,M,5.3,False,False,0,0.0,,24.0,15,1,0,0,0,,1.0,,1.0,2.0,6.0,2.0,1.0,,1.0,,,1.0,,,,,
1388312,SC Freiburg,160,199143,Yuito Suzuki,https://media.api-sports.io/football/players/199143.png,70.0,14,M,6,False,False,0,0.0,,22.0,15,0,0,0,0,,2.0,,,,7.0,2.0,,,,,,,2.0,,,,
1388312,SC Freiburg,160,26248,Vincenzo Grifo,https://media.api-sports.io/football/players/26248.png,90.0,32,M,7.5,False,False,0,0.0,,39.0,31,0,0,1,0,,1.0,1.0,,,6.0,5.0,3.0,1.0,,,3.0,2.0,3.0,1.0,,,
1388312,SC Freiburg,160,26255,Lucas Höler,https://media.api-sports.io/football/players/26255.png,90.0,9,F,7,False,False,0,0.0,,29.0,19,0,0,0,0,,1.0,1.0,,,14.0,9.0,,,1.0,,,4.0,,,1.0,,
1388312,SC Freiburg,160,431149,Cyriaque Irié,https://media.api-sports.io/football/players/431149.png,31.0,22,F,6.6,False,True,0,0.0,,15.0,13,1,0,0,0,,1.0,,2.0,,10.0,4.0,3.0,,2.0,,1.0,1.0,,,1.0,,
1388312,SC Freiburg,160,202854,Merlin Röhl,https://media.api-sports.io/football/players/202854.png,21.0,34,M,6.5,False,True,0,0.0,,7.0,7,0,0,0,0,,,,1.0,,4.0,1.0,,,1.0,,,,,,,,
1388312,SC Freiburg,160,191160,Jordy Makengo,https://media.api-sports.io/football/players/191160.png,10.0,33,D,6.9,False,True,0,0.0,,9.0,7,0,0,0,0,,,,1.0,,2.0,1.0,,,1.0,,,,1.0,,,,
1388312,SC Freiburg,160,286710,Derry Scherhant,https://media.api-sports.io/football/players/286710.png,10.0,7,F,6.2,False,True,0,0.0,,1.0,1,0,0,0,0,,,,,,3.0,,2.0,,,,,,,,,,
1388312,SC Freiburg,160,25905,Florian Müller,https://media.api-sports.io/football/players/25905.png,,21,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388312,SC Freiburg,160,361393,Bruno Ogbus,https://media.api-sports.io/football/players/361393.png,,43,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388312,SC Freiburg,160,15874,Anthony Jung,https://media.api-sports.io/football/players/15874.png,,5,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388312,SC Freiburg,160,26250,Nicolas Höfler,https://media.api-sports.io/football/players/26250.png,,27,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388312,SC Freiburg,160,125173,Junior Adamu,https://media.api-sports.io/football/players/125173.png,,20,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388312,FC Augsburg,170,25903,Finn Dahmen,https://media.api-sports.io/football/players/25903.png,90.0,1,G,7.2,False,False,1,0.0,3.0,33.0,16,0,0,0,0,0.0,,,,,1.0,1.0,,,,,,,,,,,
1388312,FC Augsburg,170,163039,Chrislain Matsima,https://media.api-sports.io/football/players/163039.png,90.0,5,D,7.9,False,False,0,0.0,,31.0,22,1,0,0,0,,1.0,1.0,,2.0,3.0,2.0,,1.0,,3.0,,,,1.0,,,
1388312,FC Augsburg,170,25290,Jeffrey Gouweleeuw,https://media.api-sports.io/football/players/25290.png,90.0,6,D,6.7,True,False,0,0.0,,24.0,19,0,0,0,0,,1.0,1.0,,2.0,4.0,2.0,,,1.0,,,,,,,1.0,
1388312,FC Augsburg,170,26242,Keven Schlotterbeck,https://media.api-sports.io/football/players/26242.png,90.0,31,D,7,False,False,0,0.0,,33.0,25,0,0,0,0,,,,,1.0,9.0,4.0,,,2.0,1.0,,1.0,,,,,
1388312,FC Augsburg,170,26,Marius Wolf,https://media.api-sports.io/football/players/26.png,86.0,27,M,8.5,False,False,0,0.0,,14.0,8,1,0,0,0,,1.0,1.0,1.0,2.0,5.0,3.0,,1.0,,,,1.0,1.0,1.0,,,
1388312,FC Augsburg,170,143831,Robin Fellhauer,https://media.api-sports.io/football/players/143831.png,87.0,19,M,6.3,False,False,0,0.0,,13.0,10,0,0,0,0,,2.0,,2.0,,9.0,3.0,,2.0,3.0,,,1.0,,,,,
1388312,FC Augsburg,170,110,Han-Noah Massengo,https://media.api-sports.io/football/players/110.png,90.0,4,M,7,False,False,0,0.0,,37.0,33,0,0,0,0,,,,2.0,2.0,14.0,7.0,3.0,1.0,2.0,,1.0,3.0,,,,,
1388312,FC Augsburg,170,2360,Dimitrios Giannoulis,https://media.api-sports.io/football/players/2360.png,60.0,13,M,7.7,False,False,0,0.0,,22.0,13,0,0,0,0,,1.0,1.0,2.0,,2.0,2.0,,,,,,,1.0,1.0,,,
1388312,FC Augsburg,170,14395,Kristijan Jakić,https://media.api-sports.io/football/players/14395.png,90.0,17,F,7.3,False,False,0,0.0,,32.0,28,0,0,0,0,,1.0,1.0,3.0,1.0,11.0,5.0,1.0,,2.0,1.0,1.0,,1.0,,,,
1388312,FC Augsburg,170,348888,Mert Kömür,https://media.api-sports.io/football/players/348888.png,90.0,36,F,6.3,False,False,0,1.0,,27.0,19,1,0,0,0,,1.0,,,,17.0,4.0,1.0,1.0,4.0,,,1.0,2.0,,,,
1388312,FC Augsburg,170,323974,Elias Saad,https://media.api-sports.io/football/players/323974.png,70.0,26,F,6.2,False,False,0,0.0,,17.0,12,0,0,0,0,,,,,,11.0,3.0,2.0,,2.0,1.0,,3.0,1.0,,2.0,,
1388312,FC Augsburg,170,26171,Phillip Tietz,https://media.api-sports.io/football/players/26171.png,31.0,21,F,6.5,False,True,0,0.0,,4.0,2,1,0,0,0,,,,2.0,,13.0,5.0,2.0,,1.0,,,2.0,,,1.0,,
1388312,FC Augsburg,170,25413,Elvis Rexhbeçaj,https://media.api-sports.io/football/players/25413.png,20.0,8,M,6.9,False,True,0,0.0,,5.0,3,1,0,0,0,,,,2.0,,5.0,3.0,,1.0,1.0,,,1.0,1.0,,,,
1388312,FC Augsburg,170,48574,Cedric Zesiger,https://media.api-sports.io/football/players/48574.png,16.0,16,D,6.6,False,True,0,0.0,,2.0,,0,0,0,0,,,,1.0,1.0,4.0,2.0,,,,,,,,,,,
1388312,FC Augsburg,170,25355,Arne Maier,https://media.api-sports.io/football/players/25355.png,15.0,10,M,6.6,False,True,0,0.0,,5.0,4,0,0,0,0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
1388312,FC Augsburg,170,14553,Nediljko Labrović,https://media.api-sports.io/football/players/14553.png,,22,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388312,FC Augsburg,170,413065,Noahkai Banks,https://media.api-sports.io/football/players/413065.png,,40,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388312,FC Augsburg,170,15901,Mads Pedersen,https://media.api-sports.io/football/players/15901.png,,3,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388312,FC Augsburg,170,343710,Kyliane Dong,https://media.api-sports.io/football/players/343710.png,,29,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388312,FC Augsburg,170,3395,Steve Mounié,https://media.api-sports.io/football/players/3395.png,,15,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1388309,Bayer Leverkusen,168,26232,Mark Flekken,https://media.api-sports.io/football/players/26232.png,90.0,1,G,6.7,False,False,2,0.0,3.0,31.0,23,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1388309,Bayer Leverkusen,168,158698,Jarell Quansah,https://media.api-sports.io/football/players/158698.png,90.0,4,D,7.9,False,False,0,0.0,,68.0,58,0,0,0,0,,1.0,1.0,2.0,2.0,12.0,8.0,1.0,,,,,3.0,,1.0,,,
1388309,Bayer Leverkusen,168,41150,Edmond Tapsoba,https://media.api-sports.io/football/players/41150.png,90.0,12,D,7.3,False,False,0,0.0,,101.0,93,0,0,0,0,,,,1.0,2.0,5.0,3.0,1.0,,2.0,1.0,1.0,,1.0,,,,
1388309,Bayer Leverkusen,168,127817,Piero Hincapié,https://media.api-sports.io/football/players/127817.png,90.0,3,D,6.6,False,False,0,0.0,,90.0,77,0,0,0,0,,2.0,1.0,,2.0,8.0,5.0,,,2.0,,,,,,,,
1388309,Bayer Leverkusen,168,352375,Arthur,https://media.api-sports.io/football/players/352375.png,45.0,13,M,6.9,False,False,0,0.0,,7.0,6,0,0,0,0,,,,2.0,,5.0,3.0,,1.0,,,,1.0,,,,,
1388309,Bayer Leverkusen,168,47516,Aleix García,https://media.api-sports.io/football/players/47516.png,90.0,24,M,6.9,False,False,0,0.0,,77.0,68,0,0,0,0,,1.0,,,2.0,1.0,1.0,1.0,,,,1.0,,,,,,
1388309,Bayer Leverkusen,168,24903,Robert Andrich,https://media.api-sports.io/football/players/24903.png,90.0,8,M,6.7,True,False,0,0.0,,49.0,43,0,0,0,0,,,,2.0,1.0,6.0,3.0,,,2.0,,,,,,,,
