rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,512,Frosinone,https://media.api-sports.io/football/teams/512.png,80,37,Serie B: Regular Season,WWWWD,same,Promotion,38,24,8,6,63,26,19,14,3,2,35,11,19,10,5,4,28,15
2,495,Genoa,https://media.api-sports.io/football/teams/495.png,73,25,Serie B: Regular Season,WLWDW,same,Promotion,38,21,11,6,53,28,19,12,6,1,29,10,19,9,5,5,24,18
3,508,Bari,https://media.api-sports.io/football/teams/508.png,65,21,Serie B: Regular Season,LWDDW,same,Promotion Play-off,38,17,14,7,58,37,19,7,9,3,30,19,19,10,5,4,28,18
4,523,Parma,https://media.api-sports.io/football/teams/523.png,60,9,Serie B: Regular Season,WWWDW,up,Promotion Play-off,38,17,10,11,48,39,19,11,2,6,26,16,19,6,8,5,22,23
5,490,Cagliari,https://media.api-sports.io/football/teams/490.png,60,16,Serie B: Regular Season,WWWWL,up,Promotion Play-off,38,15,15,8,50,34,19,11,6,2,28,17,19,4,9,6,22,17
6,1578,Sudtirol,https://media.api-sports.io/football/teams/1578.png,58,4,Serie B: Regular Season,LDWDD,down,Promotion Play-off,38,14,16,8,38,34,19,6,10,3,21,18,19,8,6,5,17,16
7,1692,Reggina,https://media.api-sports.io/football/teams/1692.png,50,4,Serie B: Regular Season,WLWLL,up,Promotion Play-off,38,17,4,17,49,45,19,10,2,7,28,22,19,7,2,10,21,23
8,517,Venezia,https://media.api-sports.io/football/teams/517.png,49,1,Serie B: Regular Season,LWDWW,down,Promotion Play-off,38,13,10,15,51,50,19,7,5,7,29,27,19,6,5,8,22,23
9,522,Palermo,https://media.api-sports.io/football/teams/522.png,49,-1,Serie B: Regular Season,DLWDD,down,,38,11,16,11,48,49,19,8,8,3,25,17,19,3,8,8,23,32
10,899,Modena,https://media.api-sports.io/football/teams/899.png,48,-6,Serie B: Regular Season,WLDLD,up,,38,13,9,16,47,53,19,7,8,4,26,18,19,6,1,12,21,35
11,801,Pisa,https://media.api-sports.io/football/teams/801.png,47,6,Serie B: Regular Season,LDLLL,down,,38,11,14,13,48,42,19,7,5,7,27,21,19,4,9,6,21,21
12,507,Ascoli,https://media.api-sports.io/football/teams/507.png,47,-7,Serie B: Regular Season,LDLWD,down,,38,12,11,15,40,47,19,6,6,7,20,22,19,6,5,8,20,25
13,895,Como,https://media.api-sports.io/football/teams/895.png,47,-1,Serie B: Regular Season,DWLDD,down,,38,10,17,11,47,48,19,8,7,4,28,20,19,2,10,7,19,28
14,516,Ternana,https://media.api-sports.io/football/teams/516.png,43,-15,Serie B: Regular Season,LLLLL,same,,38,11,10,17,37,52,19,8,5,6,21,21,19,3,5,11,16,31
15,510,Cittadella,https://media.api-sports.io/football/teams/510.png,43,-11,Serie B: Regular Season,DDWDL,same,,38,9,16,13,34,45,19,5,8,6,19,22,19,4,8,7,15,23
16,518,Brescia,https://media.api-sports.io/football/teams/518.png,40,-21,Serie B: Regular Season,DDLWW,up,Relegation Play-off,38,9,13,16,36,57,19,6,6,7,17,22,19,3,7,9,19,35
17,10137,Cosenza,https://media.api-sports.io/football/teams/10137.png,40,-23,Serie B: Regular Season,LDDLD,down,Relegation Play-off,38,9,13,16,30,53,19,7,7,5,20,18,19,2,6,11,10,35
18,524,Perugia,https://media.api-sports.io/football/teams/524.png,39,-12,Serie B: Regular Season,WLLDD,same,Relegation,38,10,9,19,40,52,19,6,6,7,22,26,19,4,3,12,18,26
19,493,Spal,https://media.api-sports.io/football/teams/493.png,38,-10,Serie B: Regular Season,WLLDD,same,Relegation,38,8,14,16,41,51,19,4,7,8,25,27,19,4,7,8,16,24
20,506,Benevento,https://media.api-sports.io/football/teams/506.png,35,-16,Serie B: Regular Season,LWLDD,same,Relegation,38,7,14,17,33,49,19,4,6,9,16,25,19,3,8,8,17,24
