rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,523,Parma,https://media.api-sports.io/football/teams/523.png,76,31,Serie B: Regular Season,DDDWD,same,Promotion,38,21,13,4,66,35,19,11,7,1,34,17,19,10,6,3,32,18
2,895,Como,https://media.api-sports.io/football/teams/895.png,73,18,Serie B: Regular Season,DDWDW,same,Promotion,38,21,10,7,58,40,19,12,5,2,32,19,19,9,5,5,26,21
3,517,Venezia,https://media.api-sports.io/football/teams/517.png,70,23,Serie B: Regular Season,LWLWW,same,Promotion Play-off,38,21,7,10,69,46,19,13,3,3,41,25,19,8,4,7,28,21
4,520,Cremonese,https://media.api-sports.io/football/teams/520.png,67,18,Serie B: Regular Season,WDWLD,same,Promotion Play-off,38,19,10,9,50,32,19,9,5,5,26,15,19,10,5,4,24,17
5,1687,Catanzaro,https://media.api-sports.io/football/teams/1687.png,60,9,Serie B: Regular Season,LLWDD,same,Promotion Play-off,38,17,9,12,59,50,19,9,4,6,34,28,19,8,5,6,25,22
6,522,Palermo,https://media.api-sports.io/football/teams/522.png,56,9,Serie B: Regular Season,WDLLD,same,Promotion Play-off,38,15,11,12,62,53,19,8,4,7,33,27,19,7,7,5,29,26
7,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,55,3,Serie B: Regular Season,WWWDD,same,Promotion Play-off,38,16,9,13,53,50,19,7,4,8,25,25,19,9,5,5,28,25
8,518,Brescia,https://media.api-sports.io/football/teams/518.png,51,4,Serie B: Regular Season,LWDDD,same,Promotion Play-off,38,12,15,11,44,40,19,7,8,4,24,17,19,5,7,7,20,23
9,10137,Cosenza,https://media.api-sports.io/football/teams/10137.png,47,5,Serie B: Regular Season,DDWWW,up,,38,11,14,13,47,42,19,5,7,7,29,25,19,6,7,6,18,17
10,899,Modena,https://media.api-sports.io/football/teams/899.png,47,-6,Serie B: Regular Season,WDLWD,up,,38,10,17,11,41,47,19,6,6,7,19,21,19,4,11,4,22,26
11,880,Reggiana,https://media.api-sports.io/football/teams/880.png,47,-7,Serie B: Regular Season,DLWWL,up,,38,10,17,11,38,45,19,3,11,5,16,24,19,7,6,6,22,21
12,1578,Sudtirol,https://media.api-sports.io/football/teams/1578.png,47,-2,Serie B: Regular Season,LDWLD,down,,38,12,11,15,46,48,19,7,5,7,23,21,19,5,6,8,23,27
13,801,Pisa,https://media.api-sports.io/football/teams/801.png,46,-3,Serie B: Regular Season,LDLDD,down,,38,11,13,14,51,54,19,6,8,5,30,27,19,5,5,9,21,27
14,510,Cittadella,https://media.api-sports.io/football/teams/510.png,46,-7,Serie B: Regular Season,LDLDD,down,,38,11,13,14,40,47,19,7,6,6,25,22,19,4,7,8,15,25
15,515,Spezia,https://media.api-sports.io/football/teams/515.png,44,-13,Serie B: Regular Season,WDWDD,same,,38,9,17,12,36,49,19,6,8,5,18,17,19,3,9,7,18,32
16,516,Ternana,https://media.api-sports.io/football/teams/516.png,43,-7,Serie B: Regular Season,WWLLD,same,Relegation Play-off,38,11,10,17,43,50,19,5,7,7,16,16,19,6,3,10,27,34
17,508,Bari,https://media.api-sports.io/football/teams/508.png,41,-11,Serie B: Regular Season,WDDLD,same,Relegation Play-off,38,8,17,13,38,49,19,6,9,4,21,19,19,2,8,9,17,30
18,507,Ascoli,https://media.api-sports.io/football/teams/507.png,41,-4,Serie B: Regular Season,WDLWD,same,Relegation,38,9,14,15,38,42,19,5,8,6,19,16,19,4,6,9,19,26
19,884,Feralpisalo,https://media.api-sports.io/football/teams/884.png,33,-21,Serie B: Regular Season,LLDDL,same,Relegation,38,8,9,21,44,65,19,3,5,11,25,34,19,5,4,10,19,31
20,6379,Lecco,https://media.api-sports.io/football/teams/6379.png,26,-39,Serie B: Regular Season,LLLLL,same,Relegation,38,6,8,24,35,74,19,4,2,13,19,34,19,2,6,11,16,40
