rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,723,Almeria,https://media.api-sports.io/football/teams/723.png,81,33,Segunda División: Regular Season,DDWWW,same,Promotion,42,24,9,9,68,35,21,14,4,3,38,15,21,10,5,6,30,20
2,720,Valladolid,https://media.api-sports.io/football/teams/720.png,81,28,Segunda División: Regular Season,WWWWL,same,Promotion,42,24,9,9,71,43,21,14,4,3,40,15,21,10,5,6,31,28
3,545,Eibar,https://media.api-sports.io/football/teams/545.png,80,16,Segunda División: Regular Season,LWWLW,same,Promotion Play-off,42,23,11,8,61,45,21,14,5,2,35,19,21,9,6,6,26,26
4,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,70,10,Segunda División: Regular Season,WWWWW,same,Promotion Play-off,42,19,13,10,57,47,21,12,5,4,34,23,21,7,8,6,23,24
5,719,Tenerife,https://media.api-sports.io/football/teams/719.png,69,16,Segunda División: Regular Season,LLLWW,same,Promotion Play-off,42,20,9,13,53,37,21,9,5,7,27,18,21,11,4,6,26,19
6,547,Girona,https://media.api-sports.io/football/teams/547.png,68,15,Segunda División: Regular Season,DWLLW,up,Promotion Play-off,42,20,8,14,57,42,21,13,3,5,36,16,21,7,5,9,21,26
7,718,Oviedo,https://media.api-sports.io/football/teams/718.png,68,16,Segunda División: Regular Season,WLDDW,down,,42,17,17,8,57,41,21,11,8,2,38,19,21,6,9,6,19,22
8,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,63,2,Segunda División: Regular Season,LLLWW,same,,42,17,12,13,57,55,21,10,7,4,37,25,21,7,5,9,20,30
9,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,60,6,Segunda División: Regular Season,WWDDL,same,,42,18,6,18,63,57,21,13,2,6,42,20,21,5,4,12,21,37
10,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,56,-7,Segunda División: Regular Season,WWDLL,same,,42,12,20,10,39,46,21,7,10,4,16,15,21,5,10,6,23,31
11,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,55,0,Segunda División: Regular Season,DWDLL,same,,42,15,10,17,41,41,21,10,7,4,27,12,21,5,3,13,14,29
12,537,Leganes,https://media.api-sports.io/football/teams/537.png,54,-1,Segunda División: Regular Season,DWLDW,up,,42,13,15,14,50,51,21,7,9,5,27,25,21,6,6,9,23,26
13,726,Huesca,https://media.api-sports.io/football/teams/726.png,54,5,Segunda División: Regular Season,LWLDL,down,,42,13,15,14,49,44,21,7,9,5,23,17,21,6,6,9,26,27
14,799,Mirandes,https://media.api-sports.io/football/teams/799.png,52,-4,Segunda División: Regular Season,WLWLL,same,,42,15,7,20,58,62,21,12,2,7,43,29,21,3,5,13,15,33
15,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,52,-6,Segunda División: Regular Season,LLLDW,same,,42,12,16,14,53,59,21,6,10,5,30,25,21,6,6,9,23,34
16,716,Lugo,https://media.api-sports.io/football/teams/716.png,50,-6,Segunda División: Regular Season,WLLDL,same,,42,10,20,12,46,52,21,9,8,4,22,19,21,1,12,8,24,33
17,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,46,-5,Segunda División: Regular Season,LDWDL,same,,42,11,13,18,43,48,21,8,3,10,24,24,21,3,10,8,19,24
18,535,Malaga,https://media.api-sports.io/football/teams/535.png,45,-21,Segunda División: Regular Season,LLWDL,same,,42,11,12,19,36,57,21,7,7,7,18,24,21,4,5,12,18,33
19,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,43,-19,Segunda División: Regular Season,WLWLW,same,Relegation,42,9,16,17,44,63,21,8,8,5,29,25,21,1,8,12,15,38
20,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,40,-18,Segunda División: Regular Season,LLLWW,same,Relegation,42,10,10,22,43,61,21,4,4,13,19,32,21,6,6,9,24,29
21,4906,Fuenlabrada,https://media.api-sports.io/football/teams/4906.png,33,-26,Segunda División: Regular Season,LDWLL,same,Relegation,42,6,15,21,39,65,21,4,10,7,23,26,21,2,5,14,16,39
22,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,29,-34,Segunda División: Regular Season,WDLWL,same,Relegation,42,6,11,25,37,71,21,3,7,11,17,34,21,3,4,14,20,37
