rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,715,Granada CF,https://media.api-sports.io/football/teams/715.png,75,25,Segunda División: Regular Season,WWWDD,same,Promotion,42,22,9,11,55,30,21,17,4,0,39,6,21,5,5,11,16,24
2,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,72,20,Segunda División: Regular Season,DWDWD,same,Promotion,42,18,18,6,49,29,21,9,9,3,24,13,21,9,9,3,25,16
3,539,Levante,https://media.api-sports.io/football/teams/539.png,72,16,Segunda División: Regular Season,WWDLW,same,Promotion Play-off,42,18,18,6,46,30,21,11,7,3,25,11,21,7,11,3,21,19
4,542,Alaves,https://media.api-sports.io/football/teams/542.png,71,14,Segunda División: Regular Season,DWDDL,same,Promotion Play-off,42,19,14,9,47,33,21,13,7,1,28,11,21,6,7,8,19,22
5,545,Eibar,https://media.api-sports.io/football/teams/545.png,71,9,Segunda División: Regular Season,WDLLD,same,Promotion Play-off,42,19,14,9,45,36,21,11,8,2,24,13,21,8,6,7,21,23
6,722,Albacete,https://media.api-sports.io/football/teams/722.png,67,11,Segunda División: Regular Season,WDDWD,same,Promotion Play-off,42,17,16,9,58,47,21,10,7,4,30,19,21,7,9,5,28,28
7,8157,FC Andorra,https://media.api-sports.io/football/teams/8157.png,59,10,Segunda División: Regular Season,WDWDL,same,,42,16,11,15,47,37,21,11,3,7,27,15,21,5,8,8,20,22
8,718,Oviedo,https://media.api-sports.io/football/teams/718.png,59,-1,Segunda División: Regular Season,LWDWW,same,,42,16,11,15,34,35,21,10,5,6,18,15,21,6,6,9,16,20
9,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,58,-2,Segunda División: Regular Season,LLLDD,same,,42,16,10,16,47,49,21,9,4,8,22,25,21,7,6,8,25,24
10,719,Tenerife,https://media.api-sports.io/football/teams/719.png,57,5,Segunda División: Regular Season,DWLWW,same,,42,14,15,13,42,37,21,12,6,3,28,12,21,2,9,10,14,25
11,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,54,-2,Segunda División: Regular Season,LLLDW,up,,42,13,15,14,33,35,21,8,8,5,22,19,21,5,7,9,11,16
12,4665,Racing Santander,https://media.api-sports.io/football/teams/4665.png,54,-1,Segunda División: Regular Season,WLWDW,down,,42,14,12,16,39,40,21,9,6,6,22,16,21,5,6,10,17,24
13,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,53,1,Segunda División: Regular Season,DLWLD,same,,42,12,17,13,40,39,21,8,10,3,25,16,21,4,7,10,15,23
14,537,Leganes,https://media.api-sports.io/football/teams/537.png,53,-5,Segunda División: Regular Season,LDWWL,same,,42,14,11,17,37,42,21,10,6,5,23,19,21,4,5,12,14,23
15,726,Huesca,https://media.api-sports.io/football/teams/726.png,52,0,Segunda División: Regular Season,LWDLD,same,,42,11,19,12,36,36,21,9,9,3,23,13,21,2,10,9,13,23
16,799,Mirandes,https://media.api-sports.io/football/teams/799.png,52,-6,Segunda División: Regular Season,LLLDW,same,,42,13,13,16,48,54,21,9,7,5,32,28,21,4,6,11,16,26
17,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,50,-5,Segunda División: Regular Season,LDDLW,same,,42,11,17,14,43,48,21,8,9,4,28,22,21,3,8,10,15,26
18,9595,Villarreal II,https://media.api-sports.io/football/teams/9595.png,50,-6,Segunda División: Regular Season,LLDWL,same,,42,13,11,18,49,55,21,9,6,6,32,24,21,4,5,12,17,31
19,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,44,-13,Segunda División: Regular Season,WDDWL,up,Relegation,42,9,17,16,40,53,21,6,7,8,18,24,21,3,10,8,22,29
20,535,Malaga,https://media.api-sports.io/football/teams/535.png,44,-7,Segunda División: Regular Season,DLWLD,down,Relegation,42,10,14,18,37,44,21,7,9,5,20,17,21,3,5,13,17,27
21,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,34,-33,Segunda División: Regular Season,DWDLL,same,Relegation,42,7,13,22,33,66,21,5,7,9,21,31,21,2,6,13,12,35
22,716,Lugo,https://media.api-sports.io/football/teams/716.png,31,-30,Segunda División: Regular Season,WLLDL,same,Relegation,42,6,13,23,27,57,21,3,10,8,13,19,21,3,3,15,14,38
